# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 11206.3 22.378 22.378 22.378
2000 11205.2 22.3772 22.3772 22.3772
3000 11202.7 22.3756 22.3756 22.3756
4000 11200.7 22.3742 22.3742 22.3742
5000 11202.4 22.3754 22.3754 22.3754
6000 11204 22.3764 22.3764 22.3764
7000 11204 22.3764 22.3764 22.3764
8000 11205.4 22.3774 22.3774 22.3774
9000 11202.7 22.3755 22.3755 22.3755
10000 11204 22.3764 22.3764 22.3764
11000 11204.9 22.377 22.377 22.377
12000 11204.3 22.3767 22.3767 22.3767
13000 11204.6 22.3768 22.3768 22.3768
14000 11204.8 22.377 22.377 22.377
15000 11204.9 22.3771 22.3771 22.3771
16000 11207.3 22.3786 22.3786 22.3786
17000 11207.9 22.3791 22.3791 22.3791
18000 11205.3 22.3773 22.3773 22.3773
19000 11207.2 22.3785 22.3785 22.3785
20000 11209.4 22.38 22.38 22.38
21000 11208 22.3791 22.3791 22.3791
22000 11207.4 22.3787 22.3787 22.3787
23000 11211.3 22.3813 22.3813 22.3813
24000 11211.1 22.3812 22.3812 22.3812
25000 11209.6 22.3802 22.3802 22.3802
26000 11212.3 22.3819 22.3819 22.3819
27000 11211.3 22.3813 22.3813 22.3813
28000 11214.1 22.3832 22.3832 22.3832
29000 11214.6 22.3835 22.3835 22.3835
30000 11213.9 22.3831 22.3831 22.3831
31000 11215.2 22.3839 22.3839 22.3839
32000 11208 22.3791 22.3791 22.3791
33000 11211.2 22.3812 22.3812 22.3812
34000 11209.2 22.3799 22.3799 22.3799
35000 11213.7 22.3829 22.3829 22.3829
36000 11211.5 22.3815 22.3815 22.3815
37000 11215.6 22.3841 22.3841 22.3841
38000 11214.6 22.3835 22.3835 22.3835
39000 11212.6 22.3821 22.3821 22.3821
40000 11213.3 22.3826 22.3826 22.3826
41000 11213.8 22.383 22.383 22.383
42000 11211.6 22.3815 22.3815 22.3815
43000 11215 22.3838 22.3838 22.3838
44000 11213.2 22.3825 22.3825 22.3825
45000 11214 22.3831 22.3831 22.3831
46000 11216.2 22.3846 22.3846 22.3846
47000 11213.7 22.3829 22.3829 22.3829
48000 11213 22.3824 22.3824 22.3824
49000 11214.9 22.3837 22.3837 22.3837
50000 11213.3 22.3826 22.3826 22.3826
