# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.87007
2000 -3.87018
3000 -3.87021
4000 -3.87007
5000 -3.87026
6000 -3.87006
7000 -3.87019
8000 -3.87006
9000 -3.87011
10000 -3.87017
11000 -3.87013
12000 -3.87039
13000 -3.87031
14000 -3.87053
15000 -3.87048
16000 -3.87049
17000 -3.87044
18000 -3.87062
19000 -3.87041
20000 -3.87045
21000 -3.87069
22000 -3.87058
23000 -3.87073
24000 -3.87062
25000 -3.8707
26000 -3.87079
27000 -3.87062
28000 -3.87088
29000 -3.87098
30000 -3.87086
31000 -3.87104
32000 -3.87131
33000 -3.87126
34000 -3.87125
35000 -3.871
36000 -3.87123
37000 -3.87104
38000 -3.87122
39000 -3.87126
40000 -3.87108
41000 -3.87115
42000 -3.87127
43000 -3.87127
44000 -3.87136
45000 -3.87119
46000 -3.87107
47000 -3.87133
48000 -3.87125
49000 -3.87129
50000 -3.87111
