# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.83592
2000 -3.83643
3000 -3.83772
4000 -3.83663
5000 -3.83646
6000 -3.83618
7000 -3.8376
8000 -3.83818
9000 -3.83634
10000 -3.83733
11000 -3.8373
12000 -3.83821
13000 -3.83859
14000 -3.83741
15000 -3.83843
16000 -3.83831
17000 -3.83888
18000 -3.83839
19000 -3.83949
20000 -3.83904
21000 -3.83705
22000 -3.83644
23000 -3.83805
24000 -3.83905
25000 -3.83984
26000 -3.84038
27000 -3.84016
28000 -3.84074
29000 -3.84171
30000 -3.84251
31000 -3.8408
32000 -3.84228
33000 -3.84174
34000 -3.84182
35000 -3.84324
36000 -3.84518
37000 -3.84512
38000 -3.84424
39000 -3.84493
40000 -3.84285
41000 -3.84325
42000 -3.84461
43000 -3.84453
44000 -3.84477
45000 -3.84561
46000 -3.84535
47000 -3.84414
48000 -3.84447
49000 -3.84432
50000 -3.84459
