temperature,E_fcc,E_hcp,E_dhcp,A_fcc,natoms,gamma_ISF,gamma_ESF,gamma_Twin,delta_E_dhcp_fcc,delta_E_hcp_fcc,composition
100,-3.34690240098578,-3.32315181650437,-3.23774372048948,591.955226908301,864,10210.655986661737,5660.732855590185,5105.327993330869,94.31309994880326,20.520504991938324,Comp01_Al100_Co00_Cr00
350,-3.31276195011193,-3.22599281036746,-3.21751094405051,594.701924373334,864,8868.587482885794,6454.009171383795,4434.293741442897,82.29686923706689,74.96853673922216,Comp01_Al100_Co00_Cr00
550,-3.2839024545075,-3.18811963128207,-3.1913238101828,597.896629623245,864,8573.712934928715,6504.46949372456,4286.856467464358,79.98794869654068,82.7563592667714,Comp01_Al100_Co00_Cr00
100,-4.38052678772397,-4.27120538772579,-4.26577308633561,451.284919772813,864,14079.91743480225,10393.306511870378,7039.958717401125,99.14719799954318,94.45368959842745,Comp02_Al00_Co100_Cr00
350,-4.34668855105116,-4.25338328443982,-4.2413620001815,453.59885633637,864,12857.310687112642,9276.120658950615,6428.655343556321,91.00213995138617,80.61575035219784,Comp02_Al00_Co100_Cr00
550,-4.31979940235645,-4.21895759634165,-4.23936034274271,455.570160890185,864,9776.782208209293,7952.537986301611,4888.391104104647,69.49934750627125,87.12732039678698,Comp02_Al00_Co100_Cr00
100,-4.01658440451437,-3.9995308216583,-3.99797937712129,488.332637375801,864,2109.59355275194,1538.21622645788,1054.79677637597,16.07474366762132,14.734295587644723,Comp03_Al00_Co00_Cr100
350,-3.9968305593398,-3.9768280943119,-3.97914596313913,489.153866365675,864,2001.8608395639374,1566.990155889822,1000.9304197819687,15.279491117378669,17.282129784105635,Comp03_Al00_Co00_Cr100
550,-3.96128660476519,-3.94704689530494,-3.94706284341327,496.843544032446,864,1585.18163718758,1189.3305662033108,792.59081859379,12.28932980805854,12.303108973655995,Comp03_Al00_Co00_Cr100
100,-4.02722427071991,-3.96785204269208,-3.98692213235986,441.700734046986,864,5052.24258771551,4386.834590817085,2526.121293857755,34.821047543083324,51.29760501604525,Comp04_Al25_Co75_Cr00
350,-4.01332446115354,-4.00218721160955,-4.01570608378276,444.042610689954,864,-296.9836411149581,198.70643841518375,-148.49182055747906,-2.057721951646016,9.622583606007822,Comp04_Al25_Co75_Cr00
550,-4.00318554284587,-4.02238397604636,-4.0224461904937,444.90952965018,864,-2397.0848384194937,-1795.8779032983043,-1198.5424192097469,-16.64119956772558,-16.587446285223336,Comp04_Al25_Co75_Cr00
