# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 6235.64 13.015 22.5427 21.2535
2000 6238.14 13.0168 22.5457 21.2563
3000 6237.38 13.0162 22.5448 21.2554
4000 6241.33 13.019 22.5495 21.2599
5000 6242.1 13.0195 22.5505 21.2608
6000 6242.58 13.0199 22.5511 21.2613
7000 6241.51 13.0191 22.5498 21.2601
8000 6242.25 13.0196 22.5507 21.261
9000 6242.24 13.0196 22.5506 21.261
10000 6241.68 13.0192 22.55 21.2603
11000 6244.6 13.0213 22.5535 21.2636
12000 6243.42 13.0204 22.5521 21.2623
13000 6246.92 13.0229 22.5563 21.2663
14000 6244.11 13.0209 22.5529 21.2631
15000 6243.18 13.0203 22.5518 21.262
16000 6243.14 13.0202 22.5517 21.262
17000 6243.5 13.0205 22.5522 21.2624
18000 6243.28 13.0203 22.5519 21.2621
19000 6241.93 13.0194 22.5503 21.2606
20000 6244.12 13.0209 22.5529 21.2631
21000 6245.23 13.0217 22.5542 21.2643
22000 6243.67 13.0206 22.5524 21.2626
23000 6243.42 13.0204 22.5521 21.2623
24000 6243.31 13.0204 22.5519 21.2622
25000 6242.56 13.0198 22.551 21.2613
26000 6243.01 13.0202 22.5516 21.2618
27000 6243.42 13.0204 22.5521 21.2623
28000 6243.39 13.0204 22.552 21.2623
29000 6243.2 13.0203 22.5518 21.262
30000 6245.1 13.0216 22.5541 21.2642
31000 6242.65 13.0199 22.5511 21.2614
32000 6242.68 13.0199 22.5512 21.2614
33000 6244.58 13.0213 22.5535 21.2636
34000 6240.81 13.0186 22.5489 21.2593
35000 6241.01 13.0188 22.5492 21.2596
36000 6242.49 13.0198 22.5509 21.2612
37000 6241.88 13.0194 22.5502 21.2605
38000 6243.31 13.0204 22.5519 21.2622
39000 6240.53 13.0184 22.5486 21.259
40000 6241.71 13.0193 22.55 21.2604
41000 6243.02 13.0202 22.5516 21.2618
42000 6243.15 13.0203 22.5517 21.262
43000 6243.68 13.0206 22.5524 21.2626
44000 6240.45 13.0184 22.5485 21.2589
45000 6242.12 13.0195 22.5505 21.2608
46000 6241.86 13.0194 22.5502 21.2605
47000 6243.8 13.0207 22.5525 21.2627
48000 6242.99 13.0201 22.5515 21.2618
49000 6243.57 13.0205 22.5523 21.2625
50000 6242.82 13.02 22.5514 21.2616
