# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.06929
2000 -4.0697
3000 -4.06988
4000 -4.0699
5000 -4.07125
6000 -4.07214
7000 -4.07234
8000 -4.0726
9000 -4.07284
10000 -4.07303
11000 -4.07326
12000 -4.07317
13000 -4.07304
14000 -4.07359
15000 -4.07346
16000 -4.07329
17000 -4.0737
18000 -4.07365
19000 -4.07406
20000 -4.07356
21000 -4.07365
22000 -4.07333
23000 -4.07384
24000 -4.07494
25000 -4.07504
26000 -4.07474
27000 -4.07498
28000 -4.07474
29000 -4.07503
30000 -4.07463
31000 -4.07509
32000 -4.07508
33000 -4.07497
34000 -4.07516
35000 -4.07534
36000 -4.07514
37000 -4.07495
38000 -4.07486
39000 -4.07502
40000 -4.07499
41000 -4.07536
42000 -4.07502
43000 -4.07487
44000 -4.07525
45000 -4.07511
46000 -4.07515
47000 -4.07497
48000 -4.07506
49000 -4.07519
50000 -4.07542
