# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.57331
2000 -3.5784
3000 -3.57883
4000 -3.5833
5000 -3.58448
6000 -3.58633
7000 -3.58905
8000 -3.58966
9000 -3.59084
10000 -3.59048
11000 -3.58995
12000 -3.59209
13000 -3.59159
14000 -3.59336
15000 -3.59423
16000 -3.59577
17000 -3.59416
18000 -3.59221
19000 -3.5936
20000 -3.59562
21000 -3.59625
22000 -3.59454
23000 -3.59557
24000 -3.59547
25000 -3.59609
26000 -3.59402
27000 -3.59477
28000 -3.59624
29000 -3.596
30000 -3.59474
31000 -3.59369
32000 -3.59465
33000 -3.59288
34000 -3.59615
35000 -3.59584
36000 -3.59375
37000 -3.59178
38000 -3.59256
39000 -3.59428
40000 -3.5939
41000 -3.59396
42000 -3.59423
43000 -3.59413
44000 -3.59697
45000 -3.59806
46000 -3.59506
47000 -3.59588
48000 -3.59757
49000 -3.59571
50000 -3.5943
