# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5709.61 12.6382 21.8901 20.6382
2000 5680.84 12.617 21.8533 20.6034
3000 5684.59 12.6197 21.858 20.6079
4000 5688.75 12.6228 21.8634 20.613
5000 5689.36 12.6233 21.8642 20.6137
6000 5693.29 12.6262 21.8692 20.6185
7000 5698.05 12.6297 21.8753 20.6242
8000 5693.76 12.6265 21.8698 20.619
9000 5690.63 12.6242 21.8658 20.6153
10000 5693.85 12.6266 21.8699 20.6191
11000 5688.22 12.6224 21.8627 20.6123
12000 5691.59 12.6249 21.867 20.6164
13000 5691.64 12.625 21.8671 20.6165
14000 5681.6 12.6175 21.8542 20.6044
15000 5668.13 12.6075 21.8369 20.588
16000 5650.48 12.5945 21.8142 20.5667
17000 5636.12 12.5838 21.7958 20.5492
18000 5602.64 12.5588 21.7525 20.5085
19000 5597.08 12.5546 21.7453 20.5017
20000 5598.04 12.5554 21.7466 20.5029
21000 5590.68 12.5499 21.737 20.4939
22000 5562.53 12.5288 21.7005 20.4594
23000 5553.89 12.5223 21.6892 20.4488
24000 5556.22 12.524 21.6922 20.4516
25000 5541.12 12.5127 21.6726 20.4331
26000 5540.73 12.5124 21.6721 20.4326
27000 5544.42 12.5152 21.6769 20.4372
28000 5539.14 12.5112 21.67 20.4307
29000 5543.98 12.5148 21.6763 20.4366
30000 5537.08 12.5096 21.6673 20.4282
31000 5543.1 12.5142 21.6751 20.4355
32000 5541.52 12.513 21.6731 20.4336
33000 5536.27 12.509 21.6663 20.4272
34000 5537.49 12.5099 21.6679 20.4286
35000 5528.46 12.5031 21.656 20.4175
36000 5521.33 12.4978 21.6468 20.4088
37000 5534.55 12.5077 21.664 20.425
38000 5538.53 12.5107 21.6692 20.4299
39000 5544.96 12.5156 21.6776 20.4378
40000 5548.79 12.5184 21.6826 20.4425
41000 5538.65 12.5108 21.6694 20.4301
42000 5547.96 12.5178 21.6815 20.4415
43000 5533.88 12.5072 21.6632 20.4242
44000 5527.1 12.5021 21.6543 20.4159
45000 5526.88 12.5019 21.654 20.4156
46000 5520.63 12.4972 21.6458 20.4079
47000 5522.64 12.4987 21.6484 20.4103
48000 5519.7 12.4965 21.6446 20.4067
49000 5518.39 12.4955 21.6429 20.4051
50000 5516.66 12.4942 21.6407 20.403
