# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.6456
2000 -3.64561
3000 -3.64585
4000 -3.64568
5000 -3.64579
6000 -3.64575
7000 -3.64568
8000 -3.64577
9000 -3.64603
10000 -3.64597
11000 -3.64612
12000 -3.64599
13000 -3.64606
14000 -3.64607
15000 -3.64607
16000 -3.64633
17000 -3.64634
18000 -3.64627
19000 -3.64633
20000 -3.64637
21000 -3.64637
22000 -3.64675
23000 -3.64683
24000 -3.64671
25000 -3.64688
26000 -3.64727
27000 -3.64706
28000 -3.64713
29000 -3.64726
30000 -3.64724
31000 -3.64744
32000 -3.64706
33000 -3.64724
34000 -3.64728
35000 -3.64725
36000 -3.6473
37000 -3.64744
38000 -3.64744
39000 -3.64755
40000 -3.64736
41000 -3.64743
42000 -3.6474
43000 -3.64733
44000 -3.64737
45000 -3.64756
46000 -3.64744
47000 -3.64729
48000 -3.64733
49000 -3.64737
50000 -3.64737
