# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.1856
2000 -4.18613
3000 -4.18523
4000 -4.18609
5000 -4.18499
6000 -4.18596
7000 -4.18698
8000 -4.18604
9000 -4.18655
10000 -4.18598
11000 -4.1865
12000 -4.18781
13000 -4.1868
14000 -4.18768
15000 -4.18754
16000 -4.18636
17000 -4.18686
18000 -4.1872
19000 -4.18748
20000 -4.18843
21000 -4.18713
22000 -4.18723
23000 -4.18805
24000 -4.18766
25000 -4.18809
26000 -4.18725
27000 -4.18647
28000 -4.18723
29000 -4.18649
30000 -4.18729
31000 -4.18764
32000 -4.18875
33000 -4.18792
34000 -4.18871
35000 -4.18857
36000 -4.18964
37000 -4.18979
38000 -4.18992
39000 -4.1901
40000 -4.18951
41000 -4.18985
42000 -4.19019
43000 -4.18944
44000 -4.19024
45000 -4.18966
46000 -4.19048
47000 -4.19122
48000 -4.19141
49000 -4.191
50000 -4.1907
