# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.20952
2000 -4.2094
3000 -4.20959
4000 -4.20927
5000 -4.20941
6000 -4.2096
7000 -4.20941
8000 -4.21001
9000 -4.21015
10000 -4.21018
11000 -4.21003
12000 -4.21003
13000 -4.21004
14000 -4.20999
15000 -4.21004
16000 -4.21017
17000 -4.21
18000 -4.21014
19000 -4.21019
20000 -4.21001
21000 -4.21003
22000 -4.20999
23000 -4.20994
24000 -4.21018
25000 -4.2102
26000 -4.21022
27000 -4.21025
28000 -4.21035
29000 -4.21042
30000 -4.21034
31000 -4.21036
32000 -4.21033
33000 -4.21054
34000 -4.21072
35000 -4.2106
36000 -4.21063
37000 -4.21063
38000 -4.21053
39000 -4.21085
40000 -4.21055
41000 -4.21047
42000 -4.2107
43000 -4.21059
44000 -4.21047
45000 -4.21045
46000 -4.21066
47000 -4.21086
48000 -4.21068
49000 -4.21069
50000 -4.21068
