# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5883.84 12.7655 22.1105 20.846
2000 5884.36 12.7659 22.1112 20.8466
3000 5883.26 12.7651 22.1098 20.8453
4000 5883.8 12.7655 22.1105 20.846
5000 5883.33 12.7652 22.1099 20.8454
6000 5883.56 12.7653 22.1102 20.8457
7000 5883.18 12.765 22.1097 20.8452
8000 5883.1 12.765 22.1096 20.8451
9000 5882.12 12.7643 22.1084 20.844
10000 5882.21 12.7643 22.1085 20.8441
11000 5882.27 12.7644 22.1086 20.8441
12000 5880.56 12.7632 22.1064 20.8421
13000 5881.36 12.7637 22.1074 20.8431
14000 5880.86 12.7634 22.1068 20.8425
15000 5881.49 12.7638 22.1076 20.8432
16000 5881.08 12.7635 22.1071 20.8427
17000 5881.67 12.764 22.1078 20.8434
18000 5880.98 12.7635 22.107 20.8426
19000 5881.3 12.7637 22.1073 20.843
20000 5880.95 12.7634 22.1069 20.8426
21000 5881.05 12.7635 22.107 20.8427
22000 5881.15 12.7636 22.1072 20.8428
23000 5880.95 12.7634 22.1069 20.8426
24000 5882.94 12.7649 22.1094 20.8449
25000 5881.79 12.764 22.108 20.8436
26000 5881.65 12.7639 22.1078 20.8434
27000 5881.4 12.7638 22.1075 20.8431
28000 5880.57 12.7632 22.1064 20.8421
29000 5880.66 12.7632 22.1065 20.8422
30000 5880.42 12.763 22.1062 20.842
31000 5881.73 12.764 22.1079 20.8435
32000 5881.18 12.7636 22.1072 20.8429
33000 5881.65 12.7639 22.1078 20.8434
34000 5881.3 12.7637 22.1073 20.843
35000 5882.46 12.7645 22.1088 20.8444
36000 5882.44 12.7645 22.1088 20.8444
37000 5881.32 12.7637 22.1074 20.843
38000 5882.2 12.7643 22.1085 20.8441
39000 5880.99 12.7635 22.107 20.8426
40000 5882.65 12.7647 22.109 20.8446
41000 5882.62 12.7646 22.109 20.8446
42000 5883.21 12.7651 22.1097 20.8453
43000 5881.89 12.7641 22.1081 20.8437
44000 5881.96 12.7642 22.1082 20.8438
45000 5881.83 12.7641 22.108 20.8436
46000 5882.38 12.7645 22.1087 20.8443
47000 5882.98 12.7649 22.1095 20.845
48000 5881.42 12.7638 22.1075 20.8431
49000 5884.16 12.7657 22.1109 20.8464
50000 5881.46 12.7638 22.1075 20.8432
