Temp_K,E_FCC_eV,E_HCP_eV,E_DHCP_eV,A_FCC_A2,natoms,gamma_ISF_DMLF_mJm2,gamma_ESF_DMLF_mJm2,gamma_Twin_DMLF_mJm2,delta_E_dhcp_fcc_eV,delta_E_hcp_fcc_eV,CompName,gamma_ISF_Ising_mJm2,gamma_Twin_Ising_mJm2
350,-5.01498185410846,-5.03287249996437,-5.01007858624776,522.138908062449,864,519.976587045002,-214.323799783058,259.988293522501,4.236423431645136,-15.457518019505898,Comp09_Al00_Co50_Cr50,-948.6239699081868,-1897.2479398163737
550,-5.00911918716297,-5.00954680833615,-4.99511823811262,523.305765580274,864,1481.44721645156,729.4119072399035,740.72360822578,12.0968199795021,-0.3694646936280605,Comp09_Al00_Co50_Cr50,-22.623396803681644,-45.24679360736329
100,-3.64736831934046,-3.52843317193731,-3.54917234937597,467.459236796501,864,11631.457695420764,9337.739822342635,5815.728847710382,84.84131804931944,102.75996735632172,Comp10_Al75_Co25_Cr00,7044.020340133913,14088.040680267826
350,-3.63086177501604,-3.61131104350077,-3.61569015154728,473.621802844445,864,1773.7180922390723,1458.279208842196,886.8590461195362,13.10828267700883,16.89183202919355,Comp10_Al75_Co25_Cr00,1142.8400643758132,2285.6801287516264
550,-3.62780511115773,-3.59430296104407,-3.60595446551438,472.626935334848,864,2559.941447869108,2261.2179610704534,1279.970723934554,18.87895783585444,28.94585769820232,Comp10_Al75_Co25_Cr00,1962.4940259611706,3924.988051922341
100,-3.6310698567221,-3.47672676355311,-3.51366591446916,575.423403393306,864,11297.422883696974,9361.70258858372,5648.711441848487,101.4370061065402,133.35243249800754,Comp11_Al75_Co00_Cr25,7425.980597085163,14851.961194170326
350,-3.59784481161987,-3.51599760559143,-3.54069501198281,576.898867621468,864,5485.285696799975,4706.583716968262,2742.6428483999875,49.377426886419855,70.71598600857205,Comp11_Al75_Co00_Cr25,3927.8808398544647,7855.7616797089295
550,-3.571540505867,-3.53747798699363,-3.53730493185118,580.223777789609,864,3267.129268626172,2446.2182524683863,1633.564634313086,29.57953594966848,29.430016306591757,Comp11_Al75_Co00_Cr25,1625.3068650267478,3250.6137300534956
100,-4.76346335055693,-4.81488233304211,-4.81551473222406,486.295785594876,864,-5926.741464947352,-4427.054336153896,-2963.370732473676,-44.97239376040068,-44.42600086719577,Comp12_Al00_Co75_Cr25,-2927.366538635073,-5854.733077270146
350,-4.72953526529176,-4.79320146622315,-4.79603155879763,490.414308123564,864,-7507.900920351813,-5551.041333090088,-3753.9504601759063,-57.452797589071054,-55.00759760472036,Comp12_Al00_Co75_Cr25,-3594.180924776434,-7188.361849552868
550,-4.70037134645662,-4.77165122047951,-4.76405681638351,492.481548166007,864,-7160.3560977106445,-5583.732710498561,-3580.1780488553222,-55.02424601683282,-61.58581115577633,Comp12_Al00_Co75_Cr25,-4007.108407905709,-8014.216815811418
100,-4.09682096440387,-3.95080244733708,-3.97520547088064,504.460598928283,864,13348.91237025613,10681.323098814131,6674.456185128065,105.0757864040704,126.1599987457062,Comp13_Al33_Co34_Cr33,8013.731996721347,16027.463993442694
350,-4.06985149239607,-4.05681803045615,-4.05902436001791,509.735799198937,864,1176.1224445739736,942.0087538827186,588.0612222869868,9.354642374730162,11.260911116090256,Comp13_Al33_Co34_Cr33,707.894901480496,1415.789802960992
550,-4.04172854173057,-4.06364776261382,-4.08499435496066,515.478295891751,864,-4647.492673592697,-2912.3716905139377,-2323.7463367963487,-37.38166263079799,-18.938206843127944,Comp13_Al33_Co34_Cr33,-1177.2504385049917,-2354.5008770099835
100,-4.07934063299665,-3.91282670996245,-3.93930188368533,499.175256248196,864,15533.86049698321,12384.587975261908,7766.930248491605,120.99347940498028,143.86802950154868,Comp14_Al34_Co33_Cr33,9235.313343832715,18470.62668766543
350,-4.05686516734873,-3.98650914966903,-4.04995795428836,506.001421383011,864,755.849521447437,2302.6721888602747,377.9247607237185,5.967832084159113,60.78759927526062,Comp14_Al34_Co33_Cr33,3849.4939768976637,7698.9879537953275
550,-4.02726161107346,-4.04292061273513,-4.11327670619231,512.592447644862,864,-9291.51853408692,-5068.638251144071,-4645.759267043461,-74.31704218268666,-13.529377435683074,Comp14_Al34_Co33_Cr33,-845.7577749969619,-1691.5155499939237
100,-3.87110757684957,-3.75385054817336,-3.74728125988737,500.936891537414,864,13687.185899140704,10083.854771219472,6843.592949570351,106.98593785534102,101.31007277624563,Comp15_Al50_Co25_Cr25,6480.522162892735,12961.04432578547
350,-3.86210362050046,-3.81996576786355,-3.81245005052594,507.372988512799,864,5418.852913263266,3859.086116739415,2709.426456631633,42.90068445798545,36.40710467829048,Comp15_Al50_Co25_Cr25,2299.318794960944,4598.637589921888
550,-3.84458707350106,-3.83340737031578,-3.86108623961582,516.661403919909,864,-1768.23589354906,-584.5823170048435,-884.11794677453,-14.25527952315244,9.659263552081969,Comp15_Al50_Co25_Cr25,599.0711226880256,1198.1422453760513
100,-4.21068454837987,-4.09944104685199,-4.12548146916698,490.818942974874,864,9612.098249216537,7943.5045902761,4806.049124608267,73.6154604399373,96.11438532008802,Comp16_Al25_Co50_Cr25,6274.909497900157,12549.818995800313
350,-4.19069746316433,-4.13683152846757,-4.14364331884409,497.813053017182,864,5233.784383200581,4114.755407875674,2616.8921916002905,40.65478069268767,46.54016757800068,Comp16_Al25_Co50_Cr25,2995.725748209476,5991.451496418952
550,-4.16560278678722,-4.16075555206853,-4.18513676330601,501.091692846563,864,-2158.527992300299,-945.3576738061442,-1079.2639961501495,-16.877355712234817,4.18801079694785,Comp16_Al25_Co50_Cr25,267.81258350910963,535.6251670182193
100,-4.22184574365489,-4.12586896996431,-4.07542039385265,508.144215455497,864,15955.613618490195,10592.395607264723,7977.806809245098,126.51150222913486,82.92393246866064,Comp17_Al25_Co25_Cr50,5229.176401490207,10458.352802980415
350,-4.20190925761012,-4.17335558877053,-4.16966798212561,514.449516593547,864,3470.193385980976,2503.418907788104,1735.096692990488,27.856462018616497,24.670369877405363,Comp17_Al25_Co25_Cr50,1536.644078565439,3073.288157130878
550,-4.18044743528791,-4.22158707802612,-4.22860445463144,521.610004571191,864,-5112.083191838201,-3647.830908397019,-2556.0415959191005,-41.60766471281002,-35.544651325813845,Comp17_Al25_Co25_Cr50,-2183.5781261409265,-4367.156252281853
100,-3.96186544016359,-3.86037426916747,-3.91219415459239,486.151488368194,864,5657.414606813105,5718.594421553396,2828.7073034065525,42.91599073351684,87.68837174064781,Comp18_Al40_Co40_Cr20,5779.7729159668,11559.5458319336
350,-3.95305824751012,-3.94910821400167,-3.9586601949759,491.455587682384,864,-631.15929340487,-204.3192156939275,-315.579646702435,-4.840082610433939,3.4128289513007246,Comp18_Al40_Co40_Cr20,222.52081118453182,445.04162236906365
550,-3.94598215370119,-3.96460615446833,-3.95563220304755,495.1365119005,864,-1079.1673765403516,-1060.265327482236,-539.5836882701758,-8.33764263525508,-16.09113666280905,Comp18_Al40_Co40_Cr20,-1041.363040535947,-2082.726081071894
100,-3.98162296839169,-3.80728191940836,-3.88698982493128,514.496228564218,864,10184.630975002983,9783.059086315165,5092.3154875014925,81.7630359497944,150.63066632159743,Comp19_Al40_Co20_Cr40,9381.485054528097,18762.970109056194
350,-3.95894775718845,-3.9124676411384,-3.95209076092432,521.026551741344,864,728.7159642884648,1599.257393014413,364.3579821442324,5.924444772208176,40.15882026724309,Comp19_Al40_Co20_Cr40,2469.7982575415435,4939.596515083087
550,-3.92944258760206,-3.95574050322054,-3.97515131468566,523.81104774433,864,-4831.797222869417,-3110.876374763276,-2415.8986114347085,-39.492340200230274,-22.721399094366475,Comp19_Al40_Co20_Cr40,-1389.9552091368344,-2779.9104182736687
100,-4.34909005735291,-4.26123294579983,-4.27503414393362,504.781065420281,864,8123.457520466937,6471.068813645285,4061.7287602334686,63.98430919426653,75.90854438186128,Comp20_Al20_Co40_Cr40,4818.679006048302,9637.358012096603
350,-4.32391281431656,-4.3211544448644,-4.31849030054551,510.700403794199,864,587.9206156341079,368.72739624373577,293.96030781705394,4.685051898187169,2.3832312066658687,Comp20_Al20_Co40_Cr40,149.53414269389904,299.0682853877981
550,-4.30149187139019,-4.3470444686307,-4.35507412662435,513.07667399552,864,-5782.597242027354,-4120.307749217667,-2891.298621013677,-46.295068522314665,-39.35744401580081,Comp20_Al20_Co40_Cr40,-2458.0176949003057,-4916.0353898006115
100,-3.75868574796422,-3.69065086702297,-3.6752078340744,503.498898835104,864,9180.308785124003,6460.65278577829,4590.154392562003,72.12491760080454,58.78213713324008,Comp21_Al60_Co20_Cr20,3740.9959318423366,7481.991863684673
350,-3.76249127831683,-3.72887165066625,-3.73123939105914,507.708924021843,864,3408.361716562211,2620.828314356879,1704.1808582811054,27.001630590643884,29.047358290100945,Comp21_Al60_Co20_Cr20,1833.294493355161,3666.588986710322
550,-3.74260628772151,-3.74515844829295,-3.73274550329141,513.740787152505,864,1062.8002419169402,462.6318375636584,531.4001209584701,8.519717747606563,-2.205066733723996,Comp21_Al60_Co20_Cr20,-137.53653537088286,-275.0730707417657
