# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5911.98 12.7858 22.1457 20.8792
2000 5910.76 12.785 22.1442 20.8778
3000 5911.99 12.7858 22.1457 20.8792
4000 5909.51 12.7841 22.1426 20.8763
5000 5911.67 12.7856 22.1453 20.8788
6000 5912.34 12.7861 22.1462 20.8796
7000 5913.17 12.7867 22.1472 20.8806
8000 5911.1 12.7852 22.1446 20.8782
9000 5911.92 12.7858 22.1456 20.8791
10000 5913.21 12.7867 22.1473 20.8806
11000 5913.82 12.7872 22.148 20.8814
12000 5910.95 12.7851 22.1444 20.878
13000 5911.26 12.7853 22.1448 20.8783
14000 5913.38 12.7868 22.1475 20.8808
15000 5914.86 12.7879 22.1493 20.8826
16000 5911.88 12.7858 22.1456 20.8791
17000 5910.79 12.785 22.1442 20.8778
18000 5911.06 12.7852 22.1446 20.8781
19000 5909.82 12.7843 22.143 20.8766
20000 5911.51 12.7855 22.1451 20.8786
21000 5912.43 12.7862 22.1463 20.8797
22000 5911.73 12.7857 22.1454 20.8789
23000 5912.1 12.7859 22.1459 20.8793
24000 5911.81 12.7857 22.1455 20.879
25000 5911.52 12.7855 22.1452 20.8786
26000 5912.31 12.7861 22.1461 20.8796
27000 5912.43 12.7862 22.1463 20.8797
28000 5912.68 12.7863 22.1466 20.88
29000 5911.98 12.7858 22.1457 20.8792
30000 5912.02 12.7859 22.1458 20.8792
31000 5911.95 12.7858 22.1457 20.8791
32000 5912.43 12.7862 22.1463 20.8797
33000 5913.57 12.787 22.1477 20.8811
34000 5911.41 12.7854 22.145 20.8785
35000 5910.72 12.7849 22.1442 20.8777
36000 5913.26 12.7868 22.1473 20.8807
37000 5912.64 12.7863 22.1465 20.88
38000 5910.82 12.785 22.1443 20.8778
39000 5911.11 12.7852 22.1446 20.8782
40000 5911.83 12.7857 22.1455 20.879
41000 5913.12 12.7867 22.1471 20.8805
42000 5912.82 12.7864 22.1468 20.8802
43000 5913.63 12.787 22.1478 20.8811
44000 5912.87 12.7865 22.1468 20.8802
45000 5913.9 12.7872 22.1481 20.8815
46000 5911.82 12.7857 22.1455 20.879
47000 5916.01 12.7887 22.1507 20.8839
48000 5912.2 12.786 22.146 20.8794
49000 5914.49 12.7876 22.1489 20.8821
50000 5913.66 12.787 22.1478 20.8812
