# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 12049.2 22.9255 22.9255 22.9255
2000 12048.2 22.9249 22.9249 22.9249
3000 12050.5 22.9263 22.9263 22.9263
4000 12056 22.9298 22.9298 22.9298
5000 12045.5 22.9232 22.9232 22.9232
6000 12035.3 22.9167 22.9167 22.9167
7000 12045.1 22.9229 22.9229 22.9229
8000 12042.9 22.9215 22.9215 22.9215
9000 12049.7 22.9258 22.9258 22.9258
10000 12040.2 22.9198 22.9198 22.9198
11000 12043.8 22.9221 22.9221 22.9221
12000 12047.2 22.9242 22.9242 22.9242
13000 12049.1 22.9254 22.9254 22.9254
14000 12049.7 22.9258 22.9258 22.9258
15000 12049.6 22.9258 22.9258 22.9258
16000 12033.5 22.9156 22.9156 22.9156
17000 12039.2 22.9192 22.9192 22.9192
18000 12039.3 22.9192 22.9192 22.9192
19000 12043.5 22.9219 22.9219 22.9219
20000 12046 22.9235 22.9235 22.9235
21000 12051.7 22.9271 22.9271 22.9271
22000 12047.1 22.9242 22.9242 22.9242
23000 12056.5 22.9302 22.9302 22.9302
24000 12056.2 22.93 22.93 22.93
25000 12044 22.9222 22.9222 22.9222
26000 12049.3 22.9256 22.9256 22.9256
27000 12037.7 22.9182 22.9182 22.9182
28000 12045.6 22.9232 22.9232 22.9232
29000 12050.6 22.9264 22.9264 22.9264
30000 12048.2 22.9249 22.9249 22.9249
31000 12043.9 22.9222 22.9222 22.9222
32000 12057.8 22.931 22.931 22.931
33000 12056.9 22.9304 22.9304 22.9304
34000 12051.6 22.927 22.927 22.927
35000 12043.3 22.9218 22.9218 22.9218
36000 12055.9 22.9298 22.9298 22.9298
37000 12044.1 22.9223 22.9223 22.9223
38000 12051 22.9267 22.9267 22.9267
39000 12050.4 22.9263 22.9263 22.9263
40000 12050.2 22.9262 22.9262 22.9262
41000 12050.7 22.9264 22.9264 22.9264
42000 12045.6 22.9232 22.9232 22.9232
43000 12038.5 22.9187 22.9187 22.9187
44000 12050.5 22.9263 22.9263 22.9263
45000 12051.7 22.9271 22.9271 22.9271
46000 12034.5 22.9162 22.9162 22.9162
47000 12047.7 22.9245 22.9245 22.9245
48000 12055.3 22.9294 22.9294 22.9294
49000 12043.2 22.9217 22.9217 22.9217
50000 12046.8 22.924 22.924 22.924
