# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.9792
2000 -4.97859
3000 -4.97847
4000 -4.97873
5000 -4.97934
6000 -4.98018
7000 -4.9794
8000 -4.97937
9000 -4.97945
10000 -4.98007
11000 -4.97887
12000 -4.97986
13000 -4.98024
14000 -4.97932
15000 -4.97982
16000 -4.97861
17000 -4.97926
18000 -4.97996
19000 -4.9795
20000 -4.97945
21000 -4.97927
22000 -4.97921
23000 -4.97967
24000 -4.97924
25000 -4.98035
26000 -4.97944
27000 -4.97938
28000 -4.97964
29000 -4.97992
30000 -4.97972
31000 -4.97986
32000 -4.98005
33000 -4.9794
34000 -4.98003
35000 -4.97952
36000 -4.98054
37000 -4.98041
38000 -4.98063
39000 -4.98094
40000 -4.98105
41000 -4.98101
42000 -4.98164
43000 -4.98086
44000 -4.98121
45000 -4.98072
46000 -4.98153
47000 -4.98141
48000 -4.98104
49000 -4.98176
50000 -4.9824
