# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.24602
2000 -4.24546
3000 -4.24614
4000 -4.24584
5000 -4.24609
6000 -4.24546
7000 -4.24669
8000 -4.24709
9000 -4.24742
10000 -4.24708
11000 -4.24572
12000 -4.24676
13000 -4.24645
14000 -4.24514
15000 -4.24677
16000 -4.24679
17000 -4.24695
18000 -4.2469
19000 -4.24736
20000 -4.2486
21000 -4.24837
22000 -4.24966
23000 -4.25009
24000 -4.25142
25000 -4.24962
26000 -4.25034
27000 -4.25142
28000 -4.25147
29000 -4.25125
30000 -4.25042
31000 -4.25187
32000 -4.25023
33000 -4.25187
34000 -4.25034
35000 -4.25119
36000 -4.25159
37000 -4.25203
38000 -4.25207
39000 -4.25164
40000 -4.25189
41000 -4.25236
42000 -4.25214
43000 -4.25243
44000 -4.25215
45000 -4.25385
46000 -4.25374
47000 -4.25407
48000 -4.25401
49000 -4.25474
50000 -4.25338
