# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.24008
2000 -4.24028
3000 -4.24167
4000 -4.24197
5000 -4.24109
6000 -4.2408
7000 -4.24047
8000 -4.2409
9000 -4.2414
10000 -4.24202
11000 -4.24215
12000 -4.24207
13000 -4.24152
14000 -4.24146
15000 -4.2404
16000 -4.24142
17000 -4.24025
18000 -4.24163
19000 -4.24171
20000 -4.24223
21000 -4.24153
22000 -4.24248
23000 -4.24114
24000 -4.24144
25000 -4.24088
26000 -4.24226
27000 -4.24161
28000 -4.24189
29000 -4.24119
30000 -4.24184
31000 -4.24131
32000 -4.24053
33000 -4.24108
34000 -4.24168
35000 -4.24126
36000 -4.24064
37000 -4.242
38000 -4.24217
39000 -4.2415
40000 -4.24076
41000 -4.24015
42000 -4.24079
43000 -4.24086
44000 -4.24094
45000 -4.2403
46000 -4.2414
47000 -4.2415
48000 -4.24116
49000 -4.24073
50000 -4.24136
