# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.76078
2000 -4.75918
3000 -4.76039
4000 -4.75982
5000 -4.75938
6000 -4.76164
7000 -4.76125
8000 -4.76067
9000 -4.76102
10000 -4.76145
11000 -4.76032
12000 -4.76242
13000 -4.75972
14000 -4.76287
15000 -4.76205
16000 -4.76233
17000 -4.76211
18000 -4.7617
19000 -4.76136
20000 -4.76207
21000 -4.76257
22000 -4.76134
23000 -4.76215
24000 -4.7621
25000 -4.76113
26000 -4.7625
27000 -4.7635
28000 -4.76392
29000 -4.76384
30000 -4.76294
31000 -4.76453
32000 -4.76458
33000 -4.76423
34000 -4.76358
35000 -4.7629
36000 -4.76329
37000 -4.76376
38000 -4.76461
39000 -4.76514
40000 -4.76359
41000 -4.76427
42000 -4.76429
43000 -4.7638
44000 -4.76232
45000 -4.7633
46000 -4.76309
47000 -4.76404
48000 -4.76488
49000 -4.76437
50000 -4.76406
