# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.7635
2000 -4.76329
3000 -4.76336
4000 -4.76324
5000 -4.76319
6000 -4.76327
7000 -4.76331
8000 -4.76336
9000 -4.76342
10000 -4.76345
11000 -4.76346
12000 -4.76339
13000 -4.7635
14000 -4.76314
15000 -4.76326
16000 -4.76333
17000 -4.76323
18000 -4.76324
19000 -4.76335
20000 -4.76326
21000 -4.76318
22000 -4.76327
23000 -4.76321
24000 -4.76335
25000 -4.76348
26000 -4.76338
27000 -4.76343
28000 -4.76329
29000 -4.76337
30000 -4.76343
31000 -4.76352
32000 -4.76344
33000 -4.76355
34000 -4.76343
35000 -4.7634
36000 -4.76329
37000 -4.76326
38000 -4.76338
39000 -4.76314
40000 -4.76333
41000 -4.76334
42000 -4.76345
43000 -4.76335
44000 -4.76348
45000 -4.76338
46000 -4.76327
47000 -4.76342
48000 -4.76354
49000 -4.76341
50000 -4.76346
