# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.77039
2000 -4.7699
3000 -4.77045
4000 -4.76925
5000 -4.77026
6000 -4.7709
7000 -4.77113
8000 -4.77243
9000 -4.77084
10000 -4.76975
11000 -4.76968
12000 -4.77195
13000 -4.77143
14000 -4.77035
15000 -4.77047
16000 -4.77164
17000 -4.77056
18000 -4.77147
19000 -4.77098
20000 -4.77106
21000 -4.76941
22000 -4.77083
23000 -4.77087
24000 -4.77193
25000 -4.77086
26000 -4.77034
27000 -4.77048
28000 -4.77105
29000 -4.77196
30000 -4.77066
31000 -4.77139
32000 -4.77122
33000 -4.77066
34000 -4.77003
35000 -4.76999
36000 -4.77094
37000 -4.76941
38000 -4.76976
39000 -4.76996
40000 -4.77134
41000 -4.77193
42000 -4.76992
43000 -4.76941
44000 -4.77033
45000 -4.77159
46000 -4.773
47000 -4.77253
48000 -4.77168
49000 -4.77284
50000 -4.77165
