# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5681.92 12.6178 21.8546 20.6048
2000 5678.64 12.6153 21.8504 20.6008
3000 5677.05 12.6142 21.8484 20.5989
4000 5679.4 12.6159 21.8514 20.6017
5000 5677.61 12.6146 21.8491 20.5995
6000 5678.76 12.6154 21.8506 20.6009
7000 5680.06 12.6164 21.8523 20.6025
8000 5677.37 12.6144 21.8488 20.5993
9000 5678.34 12.6151 21.85 20.6004
10000 5677.6 12.6146 21.8491 20.5995
11000 5680 12.6164 21.8522 20.6024
12000 5677.46 12.6145 21.8489 20.5994
13000 5680.91 12.617 21.8534 20.6035
14000 5679.84 12.6162 21.852 20.6022
15000 5677.1 12.6142 21.8484 20.5989
16000 5680.9 12.617 21.8533 20.6035
17000 5679.12 12.6157 21.851 20.6013
18000 5679.27 12.6158 21.8512 20.6015
19000 5679.61 12.6161 21.8517 20.602
20000 5678.81 12.6155 21.8507 20.601
21000 5678.34 12.6151 21.85 20.6004
22000 5678.08 12.6149 21.8497 20.6001
23000 5676.74 12.6139 21.848 20.5985
24000 5678.95 12.6156 21.8508 20.6012
25000 5678.35 12.6151 21.8501 20.6004
26000 5677.46 12.6145 21.8489 20.5994
27000 5677.02 12.6141 21.8483 20.5988
28000 5680.7 12.6169 21.8531 20.6033
29000 5677 12.6141 21.8483 20.5988
30000 5678.68 12.6154 21.8505 20.6008
31000 5678.8 12.6155 21.8506 20.601
32000 5680.34 12.6166 21.8526 20.6028
33000 5680.79 12.6169 21.8532 20.6034
34000 5678.9 12.6155 21.8508 20.6011
35000 5679.6 12.6161 21.8517 20.602
36000 5677.52 12.6145 21.849 20.5994
37000 5678.3 12.6151 21.85 20.6004
38000 5676.98 12.6141 21.8483 20.5988
39000 5675.8 12.6133 21.8468 20.5974
40000 5675.91 12.6133 21.8469 20.5975
41000 5678.13 12.615 21.8498 20.6002
42000 5677.76 12.6147 21.8493 20.5997
43000 5676.72 12.6139 21.848 20.5985
44000 5678.31 12.6151 21.85 20.6004
45000 5676.49 12.6138 21.8477 20.5982
46000 5675.6 12.6131 21.8465 20.5971
47000 5677.87 12.6148 21.8495 20.5999
48000 5678.03 12.6149 21.8497 20.6001
49000 5678.2 12.615 21.8499 20.6002
50000 5677.42 12.6144 21.8489 20.5993
