# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.56957
2000 -3.57032
3000 -3.56917
4000 -3.57037
5000 -3.57067
6000 -3.57071
7000 -3.5704
8000 -3.57121
9000 -3.57079
10000 -3.56939
11000 -3.57025
12000 -3.57029
13000 -3.57026
14000 -3.5705
15000 -3.57058
16000 -3.57126
17000 -3.57096
18000 -3.57048
19000 -3.57007
20000 -3.56946
21000 -3.56988
22000 -3.57015
23000 -3.57018
24000 -3.57106
25000 -3.57068
26000 -3.57112
27000 -3.57016
28000 -3.56985
29000 -3.57035
30000 -3.57018
31000 -3.57028
32000 -3.5716
33000 -3.57028
34000 -3.57028
35000 -3.57121
36000 -3.57064
37000 -3.57014
38000 -3.57025
39000 -3.56957
40000 -3.56956
41000 -3.56999
42000 -3.56934
43000 -3.5707
44000 -3.57076
45000 -3.57152
46000 -3.57026
47000 -3.5708
48000 -3.57175
49000 -3.5708
50000 -3.57154
