# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 7313.74 13.7256 23.7734 22.4138
2000 7324.02 13.732 23.7846 22.4243
3000 7308.27 13.7221 23.7674 22.4081
4000 7317.15 13.7277 23.7771 22.4172
5000 7320 13.7295 23.7802 22.4202
6000 7337.28 13.7403 23.7989 22.4378
7000 7308.81 13.7225 23.768 22.4087
8000 7298.59 13.7161 23.757 22.3983
9000 7299.97 13.7169 23.7585 22.3997
10000 7309.45 13.7229 23.7688 22.4094
11000 7306.54 13.7211 23.7656 22.4064
12000 7305.64 13.7205 23.7646 22.4055
13000 7276.66 13.7023 23.7331 22.3758
14000 7306.28 13.7209 23.7653 22.4062
15000 7283.91 13.7069 23.741 22.3833
16000 7259.17 13.6913 23.7141 22.3579
17000 7245.86 13.683 23.6996 22.3442
18000 7249.92 13.6855 23.704 22.3484
19000 7250.95 13.6862 23.7052 22.3495
20000 7251.32 13.6864 23.7056 22.3498
21000 7248.41 13.6846 23.7024 22.3468
22000 7249.78 13.6855 23.7039 22.3483
23000 7245 13.6825 23.6987 22.3434
24000 7245.4 13.6827 23.6991 22.3438
25000 7253.98 13.6881 23.7085 22.3526
26000 7261.55 13.6929 23.7167 22.3603
27000 7247.95 13.6843 23.7019 22.3464
28000 7259.6 13.6916 23.7146 22.3584
29000 7253.15 13.6876 23.7076 22.3517
30000 7259.67 13.6917 23.7147 22.3584
31000 7248.67 13.6848 23.7027 22.3471
32000 7242.86 13.6811 23.6963 22.3411
33000 7239.52 13.679 23.6927 22.3377
34000 7234.68 13.6759 23.6874 22.3327
35000 7228.34 13.6719 23.6805 22.3262
36000 7243.71 13.6816 23.6973 22.342
37000 7238.35 13.6783 23.6915 22.3365
38000 7237.29 13.6776 23.6903 22.3354
39000 7241.39 13.6802 23.6948 22.3397
40000 7244.92 13.6824 23.6986 22.3432
41000 7240.55 13.6796 23.6938 22.3388
42000 7240.31 13.6795 23.6936 22.3385
43000 7242.47 13.6808 23.6959 22.3407
44000 7244.37 13.682 23.698 22.3427
45000 7230.09 13.6731 23.6824 22.328
46000 7239.67 13.6791 23.6929 22.3379
47000 7248.03 13.6844 23.702 22.3465
48000 7245.33 13.6826 23.699 22.3437
49000 7239.44 13.679 23.6926 22.3376
50000 7244.68 13.6822 23.6983 22.343
