# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.93142
2000 -3.93177
3000 -3.93306
4000 -3.93297
5000 -3.93429
6000 -3.93446
7000 -3.93401
8000 -3.93345
9000 -3.93457
10000 -3.93395
11000 -3.93373
12000 -3.93367
13000 -3.93264
14000 -3.93341
15000 -3.9328
16000 -3.93374
17000 -3.93442
18000 -3.93514
19000 -3.93525
20000 -3.9349
21000 -3.93575
22000 -3.93508
23000 -3.93512
24000 -3.93603
25000 -3.93489
26000 -3.93561
27000 -3.93543
28000 -3.93629
29000 -3.93674
30000 -3.93704
31000 -3.93644
32000 -3.93647
33000 -3.93697
34000 -3.93784
35000 -3.94009
36000 -3.93968
37000 -3.94132
38000 -3.94273
39000 -3.9437
40000 -3.94487
41000 -3.94743
42000 -3.94678
43000 -3.95049
44000 -3.95088
45000 -3.949
46000 -3.94929
47000 -3.94974
48000 -3.9503
49000 -3.94896
50000 -3.94911
