# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 10926.8 22.1904 22.1904 22.1904
2000 10929.6 22.1922 22.1922 22.1922
3000 10926.8 22.1903 22.1903 22.1903
4000 10922.6 22.1875 22.1875 22.1875
5000 10918.8 22.1849 22.1849 22.1849
6000 10927.5 22.1908 22.1908 22.1908
7000 10934.3 22.1954 22.1954 22.1954
8000 10922.7 22.1876 22.1876 22.1876
9000 10923.2 22.1879 22.1879 22.1879
10000 10922.3 22.1873 22.1873 22.1873
11000 10920.1 22.1858 22.1858 22.1858
12000 10924.6 22.1889 22.1889 22.1889
13000 10926.3 22.19 22.19 22.19
14000 10923.1 22.1879 22.1879 22.1879
15000 10933.8 22.1951 22.1951 22.1951
16000 10925.8 22.1897 22.1897 22.1897
17000 10929.9 22.1924 22.1924 22.1924
18000 10921.9 22.187 22.187 22.187
19000 10928 22.1912 22.1912 22.1912
20000 10924.9 22.1891 22.1891 22.1891
21000 10923.9 22.1884 22.1884 22.1884
22000 10930.6 22.1929 22.1929 22.1929
23000 10931.8 22.1937 22.1937 22.1937
24000 10929.3 22.1921 22.1921 22.1921
25000 10927.8 22.191 22.191 22.191
26000 10939.7 22.1991 22.1991 22.1991
27000 10925.5 22.1895 22.1895 22.1895
28000 10928.9 22.1918 22.1918 22.1918
29000 10930.8 22.193 22.193 22.193
30000 10930.4 22.1928 22.1928 22.1928
31000 10929.5 22.1922 22.1922 22.1922
32000 10926.9 22.1904 22.1904 22.1904
33000 10928.8 22.1917 22.1917 22.1917
34000 10927.3 22.1907 22.1907 22.1907
35000 10925.3 22.1893 22.1893 22.1893
36000 10931.7 22.1937 22.1937 22.1937
37000 10925.7 22.1896 22.1896 22.1896
38000 10925.3 22.1894 22.1894 22.1894
39000 10932.1 22.194 22.194 22.194
40000 10930.3 22.1927 22.1927 22.1927
41000 10940.4 22.1996 22.1996 22.1996
42000 10931.7 22.1937 22.1937 22.1937
43000 10932.6 22.1943 22.1943 22.1943
44000 10933.9 22.1951 22.1951 22.1951
45000 10936 22.1965 22.1965 22.1965
46000 10930.4 22.1928 22.1928 22.1928
47000 10927.9 22.1911 22.1911 22.1911
48000 10924.7 22.1889 22.1889 22.1889
49000 10925.9 22.1897 22.1897 22.1897
50000 10923.1 22.1878 22.1878 22.1878
