# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 11114 22.3163 22.3163 22.3163
2000 11104.3 22.3099 22.3099 22.3099
3000 11091.9 22.3015 22.3015 22.3015
4000 11092.8 22.3022 22.3022 22.3022
5000 11094.1 22.303 22.303 22.303
6000 11109.6 22.3134 22.3134 22.3134
7000 11096.7 22.3048 22.3048 22.3048
8000 11102.3 22.3085 22.3085 22.3085
9000 11102.3 22.3085 22.3085 22.3085
10000 11092 22.3016 22.3016 22.3016
11000 11096 22.3043 22.3043 22.3043
12000 11098 22.3056 22.3056 22.3056
13000 11079.6 22.2933 22.2933 22.2933
14000 11081.5 22.2946 22.2946 22.2946
15000 11087.5 22.2986 22.2986 22.2986
16000 11084.5 22.2966 22.2966 22.2966
17000 11083.3 22.2958 22.2958 22.2958
18000 11058.9 22.2794 22.2794 22.2794
19000 11068.5 22.2859 22.2859 22.2859
20000 11080.9 22.2941 22.2941 22.2941
21000 11085.2 22.297 22.297 22.297
22000 11077.4 22.2918 22.2918 22.2918
23000 11072.3 22.2884 22.2884 22.2884
24000 11076.8 22.2914 22.2914 22.2914
25000 11071.9 22.2881 22.2881 22.2881
26000 11065.5 22.2838 22.2838 22.2838
27000 11067.8 22.2854 22.2854 22.2854
28000 11069.4 22.2864 22.2864 22.2864
29000 11075.9 22.2908 22.2908 22.2908
30000 11081.7 22.2947 22.2947 22.2947
31000 11076.2 22.291 22.291 22.291
32000 11081.7 22.2947 22.2947 22.2947
33000 11069.6 22.2866 22.2866 22.2866
34000 11071.6 22.288 22.288 22.288
35000 11086.5 22.2979 22.2979 22.2979
36000 11086 22.2976 22.2976 22.2976
37000 11076.1 22.291 22.291 22.291
38000 11072.1 22.2883 22.2883 22.2883
39000 11059.5 22.2798 22.2798 22.2798
40000 11072.8 22.2887 22.2887 22.2887
41000 11067.8 22.2854 22.2854 22.2854
42000 11068.9 22.2861 22.2861 22.2861
43000 11068.5 22.2858 22.2858 22.2858
44000 11074.1 22.2896 22.2896 22.2896
45000 11082.8 22.2955 22.2955 22.2955
46000 11075.2 22.2903 22.2903 22.2903
47000 11067.1 22.2849 22.2849 22.2849
48000 11051.7 22.2746 22.2746 22.2746
49000 11065.5 22.2838 22.2838 22.2838
50000 11063.3 22.2823 22.2823 22.2823
