# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.8506
2000 -3.85247
3000 -3.85091
4000 -3.85142
5000 -3.85604
6000 -3.85502
7000 -3.8544
8000 -3.85654
9000 -3.85425
10000 -3.85713
11000 -3.85452
12000 -3.85789
13000 -3.85895
14000 -3.85771
15000 -3.85652
16000 -3.85847
17000 -3.85841
18000 -3.85764
19000 -3.86308
20000 -3.86577
21000 -3.86325
22000 -3.86416
23000 -3.86551
24000 -3.86575
25000 -3.86871
26000 -3.86945
27000 -3.86992
28000 -3.86794
29000 -3.86842
30000 -3.86912
31000 -3.8713
32000 -3.87022
33000 -3.86946
34000 -3.87115
35000 -3.87266
36000 -3.87185
37000 -3.87104
38000 -3.87109
39000 -3.87282
40000 -3.8695
41000 -3.87037
42000 -3.86925
43000 -3.87263
44000 -3.87265
45000 -3.8732
46000 -3.87202
47000 -3.87517
48000 -3.87165
49000 -3.87359
50000 -3.87343
