# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.84403
2000 -3.84387
3000 -3.84408
4000 -3.84393
5000 -3.84415
6000 -3.84421
7000 -3.84429
8000 -3.84431
9000 -3.84421
10000 -3.84429
11000 -3.84397
12000 -3.84412
13000 -3.84404
14000 -3.8442
15000 -3.8458
16000 -3.84745
17000 -3.84829
18000 -3.84858
19000 -3.85
20000 -3.8502
21000 -3.85003
22000 -3.85028
23000 -3.85006
24000 -3.85029
25000 -3.85056
26000 -3.85049
27000 -3.85059
28000 -3.85043
29000 -3.85051
30000 -3.85069
31000 -3.85079
32000 -3.85076
33000 -3.85096
34000 -3.8512
35000 -3.85117
36000 -3.85114
37000 -3.85081
38000 -3.85115
39000 -3.85114
40000 -3.8515
41000 -3.85134
42000 -3.85147
43000 -3.85188
44000 -3.8519
45000 -3.852
46000 -3.85195
47000 -3.85191
48000 -3.85205
49000 -3.85205
50000 -3.85226
