# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5757.78 12.6737 21.9515 20.6961
2000 5759.14 12.6747 21.9532 20.6977
3000 5757.55 12.6735 21.9512 20.6958
4000 5757.66 12.6736 21.9513 20.6959
5000 5757.5 12.6735 21.9511 20.6957
6000 5756.66 12.6729 21.9501 20.6947
7000 5755.55 12.6721 21.9487 20.6934
8000 5757.17 12.6732 21.9507 20.6953
9000 5756.1 12.6725 21.9494 20.694
10000 5757.18 12.6733 21.9507 20.6953
11000 5759.56 12.675 21.9537 20.6982
12000 5757.21 12.6733 21.9508 20.6954
13000 5757.08 12.6732 21.9506 20.6952
14000 5758.83 12.6745 21.9528 20.6973
15000 5756.44 12.6727 21.9498 20.6945
16000 5763.15 12.6776 21.9583 20.7025
17000 5766.77 12.6803 21.9629 20.7068
18000 5762.54 12.6772 21.9575 20.7018
19000 5761.05 12.6761 21.9556 20.7
20000 5763.55 12.6779 21.9588 20.703
21000 5762.08 12.6769 21.9569 20.7012
22000 5760.63 12.6758 21.9551 20.6995
23000 5763.25 12.6777 21.9584 20.7026
24000 5765.5 12.6794 21.9613 20.7053
25000 5762.29 12.677 21.9572 20.7014
26000 5764.36 12.6785 21.9598 20.7039
27000 5764.05 12.6783 21.9594 20.7036
28000 5763.31 12.6778 21.9585 20.7027
29000 5762.26 12.677 21.9572 20.7014
30000 5764.93 12.6789 21.9606 20.7046
31000 5765.14 12.6791 21.9608 20.7049
32000 5769.13 12.682 21.9659 20.7096
33000 5765.59 12.6794 21.9614 20.7054
34000 5765.22 12.6791 21.9609 20.705
35000 5764.48 12.6786 21.96 20.7041
36000 5763.53 12.6779 21.9588 20.7029
37000 5765.42 12.6793 21.9612 20.7052
38000 5765.54 12.6794 21.9613 20.7053
39000 5764.42 12.6786 21.9599 20.704
40000 5762.01 12.6768 21.9569 20.7011
41000 5766.87 12.6804 21.963 20.7069
42000 5764.4 12.6785 21.9599 20.704
43000 5762.31 12.677 21.9572 20.7015
44000 5761.18 12.6762 21.9558 20.7001
45000 5760.92 12.676 21.9555 20.6998
46000 5761.65 12.6765 21.9564 20.7007
47000 5761.12 12.6761 21.9557 20.7001
48000 5762.02 12.6768 21.9569 20.7011
49000 5762 12.6768 21.9568 20.7011
50000 5760.23 12.6755 21.9546 20.699
