# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.88285
2000 -3.88168
3000 -3.88452
4000 -3.88302
5000 -3.88305
6000 -3.88271
7000 -3.88325
8000 -3.88564
9000 -3.88749
10000 -3.88906
11000 -3.89062
12000 -3.89037
13000 -3.89166
14000 -3.89093
15000 -3.89216
16000 -3.89287
17000 -3.89326
18000 -3.89474
19000 -3.89307
20000 -3.89103
21000 -3.89363
22000 -3.89196
23000 -3.89271
24000 -3.89246
25000 -3.89312
26000 -3.89557
27000 -3.89356
28000 -3.89515
29000 -3.89505
30000 -3.89456
31000 -3.89441
32000 -3.89401
33000 -3.89813
34000 -3.90112
35000 -3.90318
36000 -3.90286
37000 -3.90401
38000 -3.90547
39000 -3.90544
40000 -3.9084
41000 -3.90797
42000 -3.90917
43000 -3.91017
44000 -3.91076
45000 -3.91345
46000 -3.91372
47000 -3.91196
48000 -3.91367
49000 -3.91338
50000 -3.91017
