# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 6256.16 13.0293 22.5674 21.2767
2000 6263.56 13.0344 22.5762 21.285
3000 6260.69 13.0324 22.5728 21.2819
4000 6253.66 13.0275 22.5644 21.2739
5000 6247.12 13.023 22.5565 21.2665
6000 6245.71 13.022 22.5548 21.2649
7000 6261.25 13.0328 22.5734 21.2824
8000 6259.57 13.0316 22.5715 21.2806
9000 6260.6 13.0324 22.5727 21.2818
10000 6269.34 13.0384 22.5832 21.2916
11000 6271.84 13.0401 22.5862 21.2945
12000 6255.64 13.0289 22.5667 21.2761
13000 6257.92 13.0305 22.5695 21.2787
14000 6263.2 13.0342 22.5759 21.2847
15000 6265.72 13.0359 22.5789 21.2876
16000 6263.84 13.0346 22.5766 21.2854
17000 6254.78 13.0283 22.5657 21.2752
18000 6256.98 13.0298 22.5683 21.2776
19000 6262.21 13.0335 22.5747 21.2836
20000 6257.74 13.0304 22.5693 21.2785
21000 6255.14 13.0286 22.5662 21.2756
22000 6253.3 13.0273 22.5639 21.2735
23000 6249.24 13.0245 22.559 21.2689
24000 6259.92 13.0319 22.5719 21.281
25000 6266.36 13.0364 22.5796 21.2883
26000 6276.31 13.0432 22.5915 21.2995
27000 6284.24 13.0488 22.6011 21.3085
28000 6276.78 13.0436 22.5921 21.3
29000 6273.88 13.0416 22.5887 21.2968
30000 6273.49 13.0413 22.5882 21.2963
31000 6265.12 13.0355 22.5781 21.2868
32000 6253.77 13.0276 22.5645 21.274
33000 6254.66 13.0282 22.5655 21.275
34000 6267.75 13.0373 22.5813 21.2898
35000 6265.38 13.0357 22.5785 21.2872
36000 6263.64 13.0345 22.5764 21.2852
37000 6266.2 13.0362 22.5794 21.2881
38000 6263.07 13.0341 22.5757 21.2845
39000 6261.83 13.0332 22.5742 21.2831
40000 6246.08 13.0223 22.5553 21.2653
41000 6255.88 13.0291 22.567 21.2764
42000 6258.29 13.0308 22.5699 21.2791
43000 6269.18 13.0383 22.583 21.2915
44000 6264.03 13.0347 22.5768 21.2856
45000 6261.93 13.0333 22.5743 21.2833
46000 6254.5 13.0281 22.5653 21.2748
47000 6259.05 13.0313 22.5708 21.28
48000 6261.65 13.0331 22.574 21.283
49000 6264.85 13.0353 22.5778 21.2865
50000 6259.4 13.0315 22.5713 21.2804
