# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.9337
2000 -3.93333
3000 -3.93572
4000 -3.93487
5000 -3.93437
6000 -3.93336
7000 -3.93293
8000 -3.93472
9000 -3.93408
10000 -3.9348
11000 -3.93491
12000 -3.93696
13000 -3.93783
14000 -3.93656
15000 -3.93729
16000 -3.94088
17000 -3.94099
18000 -3.94088
19000 -3.94152
20000 -3.94043
21000 -3.94021
22000 -3.94117
23000 -3.94392
24000 -3.94258
25000 -3.94456
26000 -3.94361
27000 -3.9447
28000 -3.94724
29000 -3.94766
30000 -3.94679
31000 -3.94702
32000 -3.94848
33000 -3.94898
34000 -3.9486
35000 -3.95114
36000 -3.95042
37000 -3.94711
38000 -3.94658
39000 -3.94729
40000 -3.9493
41000 -3.95062
42000 -3.94949
43000 -3.94948
44000 -3.95108
45000 -3.95075
46000 -3.95197
47000 -3.95168
48000 -3.9529
49000 -3.95688
50000 -3.95574
