# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.93147
2000 -3.93183
3000 -3.93185
4000 -3.93194
5000 -3.93304
6000 -3.9322
7000 -3.93118
8000 -3.93227
9000 -3.93122
10000 -3.93118
11000 -3.9326
12000 -3.93409
13000 -3.93381
14000 -3.93504
15000 -3.93472
16000 -3.93381
17000 -3.93602
18000 -3.9347
19000 -3.93582
20000 -3.9344
21000 -3.93678
22000 -3.93696
23000 -3.93775
24000 -3.94504
25000 -3.94582
26000 -3.94607
27000 -3.94555
28000 -3.94793
29000 -3.94801
30000 -3.94839
31000 -3.94881
32000 -3.94998
33000 -3.9516
34000 -3.95176
35000 -3.95192
36000 -3.95215
37000 -3.95135
38000 -3.95184
39000 -3.9518
40000 -3.95135
41000 -3.95294
42000 -3.95248
43000 -3.95219
44000 -3.95309
45000 -3.9526
46000 -3.952
47000 -3.95228
48000 -3.95337
49000 -3.95298
50000 -3.95209
