# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.92878
2000 -3.92848
3000 -3.9283
4000 -3.92853
5000 -3.92895
6000 -3.92785
7000 -3.93078
8000 -3.93032
9000 -3.93137
10000 -3.93012
11000 -3.92972
12000 -3.93007
13000 -3.93058
14000 -3.93021
15000 -3.92893
16000 -3.92895
17000 -3.92953
18000 -3.93018
19000 -3.92983
20000 -3.93076
21000 -3.93212
22000 -3.93082
23000 -3.93075
24000 -3.92967
25000 -3.93058
26000 -3.93086
27000 -3.92989
28000 -3.93109
29000 -3.93107
30000 -3.93149
31000 -3.93129
32000 -3.93035
33000 -3.93099
34000 -3.93073
35000 -3.92936
36000 -3.92957
37000 -3.92864
38000 -3.93087
39000 -3.93076
40000 -3.93084
41000 -3.92927
42000 -3.92983
43000 -3.93042
44000 -3.93035
45000 -3.93018
46000 -3.93096
47000 -3.93174
48000 -3.9303
49000 -3.92902
50000 -3.92944
