# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.01652
2000 -4.01632
3000 -4.01636
4000 -4.01641
5000 -4.01638
6000 -4.01636
7000 -4.01619
8000 -4.01636
9000 -4.01624
10000 -4.01621
11000 -4.0162
12000 -4.01626
13000 -4.01616
14000 -4.01621
15000 -4.01624
16000 -4.01628
17000 -4.01661
18000 -4.01645
19000 -4.01639
20000 -4.01629
21000 -4.01652
22000 -4.01654
23000 -4.01636
24000 -4.01633
25000 -4.01653
26000 -4.01623
27000 -4.01637
28000 -4.01642
29000 -4.01652
30000 -4.01634
31000 -4.01647
32000 -4.0164
33000 -4.0165
34000 -4.01649
35000 -4.0165
36000 -4.01642
37000 -4.01643
38000 -4.01652
39000 -4.0165
40000 -4.01633
41000 -4.01644
42000 -4.01645
43000 -4.01661
44000 -4.01657
45000 -4.01641
46000 -4.01634
47000 -4.01642
48000 -4.01631
49000 -4.01653
50000 -4.01658
