# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.97299
2000 -3.97351
3000 -3.97322
4000 -3.97348
5000 -3.97411
6000 -3.97523
7000 -3.97479
8000 -3.97571
9000 -3.97579
10000 -3.9753
11000 -3.97517
12000 -3.97534
13000 -3.97442
14000 -3.97423
15000 -3.97505
16000 -3.97538
17000 -3.97508
18000 -3.97498
19000 -3.97441
20000 -3.97462
21000 -3.97655
22000 -3.97527
23000 -3.97503
24000 -3.97566
25000 -3.97591
26000 -3.97453
27000 -3.9757
28000 -3.97398
29000 -3.97485
30000 -3.97442
31000 -3.97504
32000 -3.97433
33000 -3.97394
34000 -3.97409
35000 -3.97443
36000 -3.9764
37000 -3.97465
38000 -3.97573
39000 -3.9756
40000 -3.97422
41000 -3.9751
42000 -3.97543
43000 -3.97757
44000 -3.97717
45000 -3.97677
46000 -3.97836
47000 -3.97823
48000 -3.9783
49000 -3.97679
50000 -3.97915
