# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.94388
2000 -3.9427
3000 -3.94417
4000 -3.94514
5000 -3.94245
6000 -3.94342
7000 -3.9427
8000 -3.94178
9000 -3.94082
10000 -3.94102
11000 -3.94177
12000 -3.9421
13000 -3.94378
14000 -3.94407
15000 -3.94447
16000 -3.94304
17000 -3.9447
18000 -3.94428
19000 -3.94416
20000 -3.94774
21000 -3.94918
22000 -3.94582
23000 -3.94487
24000 -3.94822
25000 -3.94669
26000 -3.94592
27000 -3.94533
28000 -3.94611
29000 -3.94423
30000 -3.94102
31000 -3.94506
32000 -3.94622
33000 -3.94704
34000 -3.9491
35000 -3.94574
36000 -3.94674
37000 -3.94802
38000 -3.94769
39000 -3.94841
40000 -3.94585
41000 -3.94587
42000 -3.94607
43000 -3.94591
44000 -3.94507
45000 -3.94555
46000 -3.9468
47000 -3.94961
48000 -3.94754
49000 -3.94961
50000 -3.94705
