# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.05254
2000 -4.05256
3000 -4.05191
4000 -4.05159
5000 -4.05217
6000 -4.05268
7000 -4.05293
8000 -4.05262
9000 -4.0535
10000 -4.05334
11000 -4.05251
12000 -4.053
13000 -4.05341
14000 -4.0541
15000 -4.05308
16000 -4.05208
17000 -4.05274
18000 -4.05186
19000 -4.05264
20000 -4.05259
21000 -4.05308
22000 -4.05342
23000 -4.05353
24000 -4.05264
25000 -4.05426
26000 -4.05334
27000 -4.05458
28000 -4.05547
29000 -4.05558
30000 -4.05476
31000 -4.05506
32000 -4.05545
33000 -4.0552
34000 -4.05567
35000 -4.05516
36000 -4.05597
37000 -4.05546
38000 -4.05593
39000 -4.05634
40000 -4.05638
41000 -4.05614
42000 -4.05669
43000 -4.05617
44000 -4.05591
45000 -4.0561
46000 -4.0563
47000 -4.05617
48000 -4.05667
49000 -4.05707
50000 -4.05687
