# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5994.78 12.8452 22.2486 20.9762
2000 5997.08 12.8469 22.2514 20.9789
3000 5988.53 12.8408 22.2409 20.9689
4000 5994.42 12.845 22.2482 20.9758
5000 5990.38 12.8421 22.2431 20.971
6000 5982.03 12.8361 22.2328 20.9613
7000 5980.58 12.8351 22.231 20.9596
8000 5982.03 12.8361 22.2328 20.9613
9000 5978.66 12.8337 22.2286 20.9574
10000 5986.17 12.8391 22.2379 20.9661
11000 5985.49 12.8386 22.2371 20.9653
12000 5987 12.8397 22.239 20.9671
13000 5978.48 12.8336 22.2284 20.9572
14000 5986.66 12.8394 22.2385 20.9667
15000 5989.32 12.8413 22.2419 20.9698
16000 5987.74 12.8402 22.2399 20.968
17000 5977.35 12.8328 22.227 20.9558
18000 5979.45 12.8343 22.2296 20.9583
19000 5977.34 12.8328 22.227 20.9558
20000 5972.56 12.8294 22.2211 20.9503
21000 5977.15 12.8326 22.2268 20.9556
22000 5975.76 12.8316 22.2251 20.954
23000 5983.74 12.8373 22.2349 20.9633
24000 5972.31 12.8292 22.2208 20.95
25000 5980.68 12.8352 22.2312 20.9597
26000 5977.64 12.833 22.2274 20.9562
27000 5973.99 12.8303 22.2228 20.9518
28000 5965.3 12.8242 22.2121 20.9418
29000 5967.86 12.826 22.2152 20.9447
30000 5969.32 12.827 22.217 20.9464
31000 5975.25 12.8312 22.2243 20.9533
32000 5968.65 12.8265 22.2162 20.9456
33000 5966.92 12.8253 22.2141 20.9437
34000 5964.19 12.8233 22.2107 20.9404
35000 5963.31 12.8227 22.2096 20.9394
36000 5969.99 12.8275 22.2179 20.9472
37000 5962.47 12.8221 22.2085 20.9384
38000 5962.81 12.8223 22.2089 20.9388
39000 5970.23 12.8277 22.2182 20.9475
40000 5974.98 12.8311 22.2241 20.9531
41000 5972.68 12.8294 22.2212 20.9504
42000 5974.89 12.831 22.224 20.9529
43000 5982.32 12.8363 22.2332 20.9616
44000 5971.26 12.8284 22.2195 20.9487
45000 5974.47 12.8307 22.2234 20.9525
46000 5965.17 12.8241 22.2119 20.9416
47000 5972.02 12.829 22.2204 20.9496
48000 5969.03 12.8268 22.2167 20.9461
49000 5975.25 12.8313 22.2244 20.9534
50000 5961.17 12.8212 22.207 20.9369
