# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.024
2000 -4.02525
3000 -4.02542
4000 -4.02493
5000 -4.02588
6000 -4.02564
7000 -4.02488
8000 -4.02508
9000 -4.025
10000 -4.02501
11000 -4.02429
12000 -4.02644
13000 -4.02651
14000 -4.02667
15000 -4.02605
16000 -4.02588
17000 -4.02473
18000 -4.02626
19000 -4.02594
20000 -4.02648
21000 -4.02617
22000 -4.02553
23000 -4.02521
24000 -4.02544
25000 -4.02535
26000 -4.0258
27000 -4.02579
28000 -4.02571
29000 -4.0262
30000 -4.02727
31000 -4.02755
32000 -4.02667
33000 -4.02614
34000 -4.02646
35000 -4.02716
36000 -4.02591
37000 -4.0253
38000 -4.0255
39000 -4.02759
40000 -4.02647
41000 -4.02869
42000 -4.02714
43000 -4.02622
44000 -4.02642
45000 -4.02734
46000 -4.02644
47000 -4.0284
48000 -4.02734
49000 -4.02683
50000 -4.02726
