# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.93281
2000 -3.9348
3000 -3.93489
4000 -3.9353
5000 -3.93503
6000 -3.93558
7000 -3.93672
8000 -3.93676
9000 -3.9366
10000 -3.93651
11000 -3.93687
12000 -3.93706
13000 -3.93714
14000 -3.93708
15000 -3.93698
16000 -3.93717
17000 -3.93733
18000 -3.93743
19000 -3.93766
20000 -3.93755
21000 -3.93803
22000 -3.9382
23000 -3.93857
24000 -3.93844
25000 -3.9385
26000 -3.93821
27000 -3.93809
28000 -3.93851
29000 -3.93838
30000 -3.93844
31000 -3.93825
32000 -3.93833
33000 -3.93823
34000 -3.9382
35000 -3.93859
36000 -3.93941
37000 -3.93955
38000 -3.93952
39000 -3.9396
40000 -3.9395
41000 -3.9394
42000 -3.93938
43000 -3.93941
44000 -3.93945
45000 -3.93921
46000 -3.93916
47000 -3.93943
48000 -3.93938
49000 -3.93942
50000 -3.9393
