# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.70252
2000 -3.70281
3000 -3.70275
4000 -3.70452
5000 -3.7056
6000 -3.70509
7000 -3.70471
8000 -3.70632
9000 -3.70593
10000 -3.70539
11000 -3.70535
12000 -3.70706
13000 -3.70634
14000 -3.70526
15000 -3.70605
16000 -3.7051
17000 -3.70825
18000 -3.70906
19000 -3.70959
20000 -3.70976
21000 -3.70941
22000 -3.71123
23000 -3.70989
24000 -3.71069
25000 -3.70991
26000 -3.70982
27000 -3.71028
28000 -3.71094
29000 -3.71146
30000 -3.71187
31000 -3.71102
32000 -3.7112
33000 -3.71018
34000 -3.71101
35000 -3.71089
36000 -3.71105
37000 -3.70945
38000 -3.71164
39000 -3.71174
40000 -3.71076
41000 -3.71202
42000 -3.71313
43000 -3.71295
44000 -3.71185
45000 -3.7126
46000 -3.71267
47000 -3.71348
48000 -3.71346
49000 -3.71304
50000 -3.71365
