# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.71001
2000 -3.70992
3000 -3.71018
4000 -3.71045
5000 -3.71068
6000 -3.70964
7000 -3.71018
8000 -3.70984
9000 -3.70932
10000 -3.71034
11000 -3.70948
12000 -3.70846
13000 -3.70952
14000 -3.70963
15000 -3.70975
16000 -3.7103
17000 -3.71022
18000 -3.70964
19000 -3.70891
20000 -3.70907
21000 -3.70971
22000 -3.70916
23000 -3.70906
24000 -3.70882
25000 -3.70869
26000 -3.70853
27000 -3.70853
28000 -3.70824
29000 -3.70871
30000 -3.70829
31000 -3.70965
32000 -3.70952
33000 -3.70918
34000 -3.70895
35000 -3.70969
36000 -3.7097
37000 -3.70873
38000 -3.70908
39000 -3.71063
40000 -3.70965
41000 -3.70993
42000 -3.70964
43000 -3.70897
44000 -3.70894
45000 -3.70884
46000 -3.70918
47000 -3.70914
48000 -3.7089
49000 -3.70918
50000 -3.70971
