# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 6319.2 13.0729 22.6428 21.3479
2000 6313.58 13.069 22.6362 21.3416
3000 6314.75 13.0698 22.6376 21.3429
4000 6310.13 13.0666 22.6321 21.3377
5000 6307.22 13.0646 22.6286 21.3344
6000 6312.56 13.0683 22.6349 21.3404
7000 6313.03 13.0686 22.6354 21.3409
8000 6311.58 13.0676 22.6338 21.3394
9000 6313.42 13.0689 22.636 21.3415
10000 6307.96 13.0651 22.6295 21.3353
11000 6318.82 13.0726 22.6424 21.3475
12000 6317.46 13.0716 22.6408 21.3459
13000 6317.27 13.0715 22.6406 21.3457
14000 6308.09 13.0652 22.6296 21.3354
15000 6316.57 13.0711 22.6397 21.3449
16000 6317.89 13.072 22.6413 21.3465
17000 6316.69 13.0712 22.6399 21.3451
18000 6320.24 13.0736 22.6442 21.3491
19000 6313.78 13.0691 22.6364 21.3418
20000 6312.72 13.0684 22.6352 21.3406
21000 6324.5 13.0766 22.6493 21.3539
22000 6318.55 13.0725 22.6422 21.3472
23000 6319.35 13.073 22.6431 21.3481
24000 6313.72 13.0691 22.6363 21.3417
25000 6317.36 13.0716 22.6406 21.3458
26000 6317.02 13.0714 22.6402 21.3454
27000 6317.77 13.0719 22.6412 21.3463
28000 6309.62 13.0663 22.6314 21.3371
29000 6309.19 13.066 22.631 21.3367
30000 6311.5 13.0676 22.6337 21.3393
31000 6312.19 13.068 22.6345 21.34
32000 6300.57 13.06 22.6206 21.3269
33000 6307.12 13.0645 22.6284 21.3343
34000 6301.62 13.0608 22.6219 21.3281
35000 6310.91 13.0672 22.633 21.3386
36000 6321.22 13.0743 22.6453 21.3502
37000 6312.02 13.0679 22.6343 21.3398
38000 6306.64 13.0642 22.6279 21.3338
39000 6306.51 13.0641 22.6277 21.3336
40000 6306.89 13.0644 22.6282 21.334
41000 6300.81 13.0602 22.6209 21.3271
42000 6303.49 13.062 22.6241 21.3302
43000 6304.18 13.0625 22.6249 21.331
44000 6312.28 13.0681 22.6346 21.3401
45000 6303.34 13.0619 22.6239 21.33
46000 6315.51 13.0703 22.6385 21.3438
47000 6312.36 13.0682 22.6347 21.3402
48000 6309.03 13.0659 22.6308 21.3365
49000 6299.01 13.0589 22.6188 21.3252
50000 6302.11 13.0611 22.6225 21.3287
