# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.67271
2000 -3.67243
3000 -3.67242
4000 -3.67213
5000 -3.67343
6000 -3.67369
7000 -3.67447
8000 -3.67492
9000 -3.67551
10000 -3.67568
11000 -3.67585
12000 -3.67557
13000 -3.67532
14000 -3.67555
15000 -3.67544
16000 -3.67561
17000 -3.67537
18000 -3.67557
19000 -3.67555
20000 -3.67579
21000 -3.67557
22000 -3.67543
23000 -3.6754
24000 -3.67554
25000 -3.67543
26000 -3.67561
27000 -3.67575
28000 -3.67559
29000 -3.67556
30000 -3.67542
31000 -3.67554
32000 -3.6755
33000 -3.67575
34000 -3.67573
35000 -3.67565
36000 -3.67558
37000 -3.67593
38000 -3.6756
39000 -3.67564
40000 -3.67528
41000 -3.67551
42000 -3.67543
43000 -3.67556
44000 -3.67583
45000 -3.67559
46000 -3.67546
47000 -3.6754
48000 -3.6753
49000 -3.67557
50000 -3.67521
