# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.70716
2000 -3.70963
3000 -3.71082
4000 -3.71361
5000 -3.71608
6000 -3.71916
7000 -3.71947
8000 -3.71713
9000 -3.72126
10000 -3.71989
11000 -3.72131
12000 -3.72064
13000 -3.72175
14000 -3.72248
15000 -3.7259
16000 -3.72542
17000 -3.72361
18000 -3.72544
19000 -3.72456
20000 -3.72689
21000 -3.72752
22000 -3.72691
23000 -3.72939
24000 -3.72989
25000 -3.72979
26000 -3.73095
27000 -3.72919
28000 -3.73121
29000 -3.72968
30000 -3.73277
31000 -3.73444
32000 -3.73691
33000 -3.73553
34000 -3.73695
35000 -3.73588
36000 -3.73638
37000 -3.73756
38000 -3.73802
39000 -3.73695
40000 -3.73768
41000 -3.73981
42000 -3.7399
43000 -3.74104
44000 -3.74158
45000 -3.74114
46000 -3.74433
47000 -3.74415
48000 -3.74456
49000 -3.74337
50000 -3.74516
