# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5955.81 12.8174 22.2003 20.9307
2000 5955.09 12.8168 22.1994 20.9298
3000 5955.34 12.817 22.1997 20.9301
4000 5954.92 12.8167 22.1992 20.9296
5000 5954.94 12.8167 22.1992 20.9296
6000 5954.34 12.8163 22.1985 20.9289
7000 5955.58 12.8172 22.2 20.9304
8000 5954.43 12.8164 22.1986 20.929
9000 5954.76 12.8166 22.199 20.9294
10000 5954.83 12.8167 22.1991 20.9295
11000 5954.99 12.8168 22.1993 20.9297
12000 5955.86 12.8174 22.2004 20.9307
13000 5954.18 12.8162 22.1983 20.9288
14000 5954.96 12.8167 22.1993 20.9297
15000 5955.49 12.8171 22.1999 20.9303
16000 5956.2 12.8176 22.2008 20.9311
17000 5956.34 12.8177 22.201 20.9313
18000 5954.92 12.8167 22.1992 20.9296
19000 5955.09 12.8168 22.1994 20.9298
20000 5955.76 12.8173 22.2003 20.9306
21000 5955.78 12.8173 22.2003 20.9306
22000 5954.82 12.8166 22.1991 20.9295
23000 5955.51 12.8171 22.1999 20.9303
24000 5955.6 12.8172 22.2001 20.9304
25000 5955.13 12.8169 22.1995 20.9299
26000 5955.63 12.8172 22.2001 20.9304
27000 5956.27 12.8177 22.2009 20.9312
28000 5955.68 12.8173 22.2002 20.9305
29000 5954.65 12.8165 22.1989 20.9293
30000 5955.24 12.817 22.1996 20.93
31000 5955.29 12.817 22.1997 20.9301
32000 5955.18 12.8169 22.1995 20.9299
33000 5955.4 12.8171 22.1998 20.9302
34000 5955.29 12.817 22.1997 20.9301
35000 5955.67 12.8173 22.2001 20.9305
36000 5954.96 12.8167 22.1993 20.9297
37000 5955.83 12.8174 22.2003 20.9307
38000 5955.94 12.8175 22.2005 20.9308
39000 5955.09 12.8168 22.1994 20.9298
40000 5956.16 12.8176 22.2008 20.9311
41000 5954.85 12.8167 22.1991 20.9295
42000 5954.75 12.8166 22.199 20.9294
43000 5955.73 12.8173 22.2002 20.9306
44000 5955.31 12.817 22.1997 20.9301
45000 5955.45 12.8171 22.1999 20.9302
46000 5955.21 12.8169 22.1996 20.93
47000 5956.38 12.8178 22.201 20.9313
48000 5955.42 12.8171 22.1998 20.9302
49000 5955.17 12.8169 22.1995 20.9299
50000 5955.85 12.8174 22.2004 20.9307
