# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -5.02422
2000 -5.02421
3000 -5.02425
4000 -5.02431
5000 -5.02429
6000 -5.02455
7000 -5.02439
8000 -5.02459
9000 -5.02435
10000 -5.02457
11000 -5.02427
12000 -5.02407
13000 -5.02438
14000 -5.02437
15000 -5.02439
16000 -5.02434
17000 -5.02413
18000 -5.02429
19000 -5.02438
20000 -5.02419
21000 -5.02438
22000 -5.0244
23000 -5.02419
24000 -5.02445
25000 -5.02428
26000 -5.02436
27000 -5.02411
28000 -5.02427
29000 -5.024
30000 -5.02433
31000 -5.02403
32000 -5.02435
33000 -5.02428
34000 -5.02425
35000 -5.02423
36000 -5.0243
37000 -5.02408
38000 -5.0241
39000 -5.0243
40000 -5.02445
41000 -5.02446
42000 -5.02436
43000 -5.02406
44000 -5.0243
45000 -5.02441
46000 -5.02425
47000 -5.02408
48000 -5.02425
49000 -5.02435
50000 -5.02437
