# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -5.00734
2000 -5.00724
3000 -5.00689
4000 -5.00665
5000 -5.00511
6000 -5.00665
7000 -5.00596
8000 -5.00729
9000 -5.00681
10000 -5.00644
11000 -5.00621
12000 -5.00673
13000 -5.00766
14000 -5.00719
15000 -5.00742
16000 -5.00678
17000 -5.00682
18000 -5.00765
19000 -5.00644
20000 -5.00741
21000 -5.00654
22000 -5.00631
23000 -5.00584
24000 -5.0062
25000 -5.00661
26000 -5.00761
27000 -5.00663
28000 -5.0076
29000 -5.00681
30000 -5.00567
31000 -5.00597
32000 -5.00532
33000 -5.00651
34000 -5.00706
35000 -5.00722
36000 -5.00689
37000 -5.00749
38000 -5.00894
39000 -5.01027
40000 -5.01038
41000 -5.01089
42000 -5.01032
43000 -5.01028
44000 -5.00994
45000 -5.00967
46000 -5.0094
47000 -5.01043
48000 -5.01062
49000 -5.01008
50000 -5.01008
