# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.96137
2000 -3.96143
3000 -3.96164
4000 -3.96457
5000 -3.96553
6000 -3.9668
7000 -3.96741
8000 -3.96808
9000 -3.96814
10000 -3.96813
11000 -3.96845
12000 -3.96816
13000 -3.9682
14000 -3.96827
15000 -3.96856
16000 -3.96845
17000 -3.96853
18000 -3.9684
19000 -3.96855
20000 -3.96863
21000 -3.96884
22000 -3.96886
23000 -3.96966
24000 -3.96964
25000 -3.96996
26000 -3.96984
27000 -3.96958
28000 -3.96988
29000 -3.96969
30000 -3.97005
31000 -3.97015
32000 -3.9704
33000 -3.97048
34000 -3.97035
35000 -3.97126
36000 -3.97388
37000 -3.97402
38000 -3.97498
39000 -3.97505
40000 -3.97514
41000 -3.975
42000 -3.97523
43000 -3.97516
44000 -3.97494
45000 -3.97488
46000 -3.97464
47000 -3.97502
48000 -3.97496
49000 -3.97518
50000 -3.97521
