# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.1835
2000 -3.18292
3000 -3.1847
4000 -3.18864
5000 -3.19037
6000 -3.18848
7000 -3.19027
8000 -3.18929
9000 -3.1879
10000 -3.18963
11000 -3.18939
12000 -3.19083
13000 -3.18935
14000 -3.18981
15000 -3.188
16000 -3.18694
17000 -3.18847
18000 -3.18751
19000 -3.18938
20000 -3.18907
21000 -3.19027
22000 -3.18957
23000 -3.18666
24000 -3.18915
25000 -3.18961
26000 -3.19149
27000 -3.19097
28000 -3.19055
29000 -3.19093
30000 -3.1929
31000 -3.19016
32000 -3.18954
33000 -3.19219
34000 -3.18974
35000 -3.1898
36000 -3.18994
37000 -3.19352
38000 -3.19152
39000 -3.18969
40000 -3.19009
41000 -3.19025
42000 -3.18776
43000 -3.18611
44000 -3.18521
45000 -3.18607
46000 -3.18986
47000 -3.19089
48000 -3.18905
49000 -3.18646
50000 -3.18812
