# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.23778
2000 -3.23778
3000 -3.2377
4000 -3.23763
5000 -3.23758
6000 -3.23791
7000 -3.23759
8000 -3.2375
9000 -3.23743
10000 -3.2376
11000 -3.23782
12000 -3.23768
13000 -3.23778
14000 -3.2375
15000 -3.23772
16000 -3.2379
17000 -3.23786
18000 -3.23787
19000 -3.23791
20000 -3.2378
21000 -3.23785
22000 -3.23817
23000 -3.23763
24000 -3.23804
25000 -3.23775
26000 -3.23772
27000 -3.23744
28000 -3.23764
29000 -3.23762
30000 -3.23774
31000 -3.23772
32000 -3.23783
33000 -3.23779
34000 -3.2378
35000 -3.23801
36000 -3.2379
37000 -3.23766
38000 -3.2378
39000 -3.23791
40000 -3.23754
41000 -3.23771
42000 -3.23767
43000 -3.23786
44000 -3.23802
45000 -3.23781
46000 -3.23771
47000 -3.23795
48000 -3.23792
49000 -3.23783
50000 -3.23774
