# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.28455
2000 -3.28413
3000 -3.28405
4000 -3.28436
5000 -3.28413
6000 -3.28366
7000 -3.28394
8000 -3.28586
9000 -3.28428
10000 -3.28388
11000 -3.28284
12000 -3.28401
13000 -3.28419
14000 -3.28434
15000 -3.28432
16000 -3.2844
17000 -3.28499
18000 -3.28351
19000 -3.28336
20000 -3.28338
21000 -3.28363
22000 -3.28493
23000 -3.28534
24000 -3.28442
25000 -3.28387
26000 -3.28331
27000 -3.28404
28000 -3.28525
29000 -3.28484
30000 -3.28505
31000 -3.28528
32000 -3.28441
33000 -3.28399
34000 -3.28373
35000 -3.28551
36000 -3.28491
37000 -3.2854
38000 -3.28455
39000 -3.28301
40000 -3.28392
41000 -3.28419
42000 -3.2857
43000 -3.28527
44000 -3.28478
45000 -3.28522
46000 -3.28532
47000 -3.2847
48000 -3.28319
49000 -3.28426
50000 -3.2839
