# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 7907.73 14.0875 24.4003 23.0049
2000 7909.54 14.0886 24.4022 23.0066
3000 7915.72 14.0923 24.4086 23.0126
4000 7911.35 14.0897 24.4041 23.0084
5000 7913.85 14.0912 24.4066 23.0108
6000 7912.66 14.0905 24.4054 23.0096
7000 7919.54 14.0946 24.4125 23.0163
8000 7913.63 14.0911 24.4064 23.0106
9000 7913.9 14.0912 24.4067 23.0108
10000 7910.49 14.0892 24.4032 23.0075
11000 7907 14.0871 24.3996 23.0042
12000 7905.05 14.086 24.3976 23.0023
13000 7908.31 14.0879 24.4009 23.0054
14000 7912.22 14.0902 24.405 23.0092
15000 7909.69 14.0887 24.4024 23.0068
16000 7916.12 14.0925 24.409 23.013
17000 7910.31 14.0891 24.403 23.0074
18000 7913.36 14.0909 24.4061 23.0103
19000 7913.94 14.0912 24.4067 23.0109
20000 7912.1 14.0901 24.4048 23.0091
21000 7915.54 14.0922 24.4084 23.0124
22000 7908.46 14.088 24.4011 23.0056
23000 7918.13 14.0937 24.411 23.0149
24000 7914.59 14.0916 24.4074 23.0115
25000 7919.74 14.0947 24.4127 23.0165
26000 7922.15 14.0961 24.4152 23.0188
27000 7920.27 14.095 24.4132 23.017
28000 7926.89 14.0989 24.42 23.0234
29000 7914.55 14.0916 24.4074 23.0115
30000 7917.79 14.0935 24.4107 23.0146
31000 7912.79 14.0906 24.4056 23.0098
32000 7922.32 14.0962 24.4153 23.019
33000 7919.48 14.0945 24.4124 23.0163
34000 7911.68 14.0899 24.4044 23.0087
35000 7912.38 14.0903 24.4051 23.0094
36000 7910.04 14.0889 24.4027 23.0071
37000 7909.24 14.0884 24.4019 23.0063
38000 7915.4 14.0921 24.4082 23.0123
39000 7914.75 14.0917 24.4076 23.0117
40000 7913.39 14.0909 24.4062 23.0104
41000 7910.21 14.089 24.4029 23.0073
42000 7914.42 14.0915 24.4072 23.0114
43000 7907.55 14.0874 24.4002 23.0047
44000 7910.07 14.0889 24.4028 23.0071
45000 7914.98 14.0919 24.4078 23.0119
46000 7909.55 14.0886 24.4022 23.0066
47000 7909.19 14.0884 24.4019 23.0063
48000 7912.13 14.0902 24.4049 23.0091
49000 7910.4 14.0891 24.4031 23.0075
50000 7911.1 14.0895 24.4038 23.0081
