# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 7397.36 13.7777 23.8637 22.4989
2000 7393.02 13.775 23.859 22.4945
3000 7413.2 13.7875 23.8807 22.5149
4000 7410.21 13.7857 23.8775 22.5119
5000 7396.7 13.7773 23.863 22.4982
6000 7404.89 13.7824 23.8718 22.5065
7000 7410.05 13.7856 23.8773 22.5117
8000 7432.5 13.7995 23.9014 22.5344
9000 7437.53 13.8026 23.9068 22.5395
10000 7437.87 13.8028 23.9072 22.5399
11000 7425.69 13.7953 23.8941 22.5276
12000 7424.97 13.7948 23.8933 22.5268
13000 7438.66 13.8033 23.908 22.5407
14000 7424.2 13.7943 23.8924 22.526
15000 7407.15 13.7838 23.8742 22.5088
16000 7408.02 13.7843 23.8751 22.5097
17000 7417.16 13.79 23.885 22.5189
18000 7414.95 13.7886 23.8826 22.5167
19000 7408.86 13.7848 23.876 22.5105
20000 7408.19 13.7844 23.8753 22.5098
21000 7405.26 13.7826 23.8721 22.5069
22000 7431.47 13.7988 23.9003 22.5334
23000 7423.04 13.7936 23.8913 22.5249
24000 7429.94 13.7979 23.8987 22.5319
25000 7407.05 13.7837 23.8741 22.5087
26000 7422.28 13.7931 23.8904 22.5241
27000 7437.23 13.8024 23.9065 22.5392
28000 7442.72 13.8058 23.9124 22.5448
29000 7426.46 13.7957 23.8949 22.5284
30000 7441.6 13.8051 23.9111 22.5436
31000 7428.58 13.7971 23.8972 22.5305
32000 7432.34 13.7994 23.9012 22.5343
33000 7436.47 13.8019 23.9056 22.5385
34000 7438.83 13.8034 23.9082 22.5409
35000 7429.36 13.7975 23.898 22.5313
36000 7419.83 13.7916 23.8878 22.5217
37000 7442.61 13.8057 23.9122 22.5447
38000 7420.15 13.7918 23.8882 22.522
39000 7426.3 13.7956 23.8947 22.5282
40000 7428.56 13.797 23.8972 22.5305
41000 7416.4 13.7895 23.8841 22.5181
42000 7420.23 13.7919 23.8882 22.522
43000 7428.28 13.7969 23.8969 22.5302
44000 7426.04 13.7955 23.8945 22.5279
45000 7430.89 13.7985 23.8997 22.5328
46000 7414.97 13.7886 23.8826 22.5167
47000 7427.64 13.7965 23.8962 22.5295
48000 7417.26 13.79 23.8851 22.519
49000 7411.43 13.7864 23.8788 22.5131
50000 7415.62 13.789 23.8833 22.5174
